"county.ind","state.county","yr","glyphosate","diffPCP","diffPCP.9403","diffPCP.0418"
77,"18127",2005,0.915816891238337,-233.11886,-217.6224,-243.449833333333
77,"18127",2006,0.886349362162756,52.57884,68.0753,42.2478666666667
77,"18127",2007,1,140.45904,155.9555,130.128066666667
77,"18127",2008,1,-57.09076,-41.5943,-67.4217333333333
77,"18127",2009,1,-2.66886,12.8276,-12.9998333333333
77,"18127",2010,0.927035916916728,56.1443400000001,71.6408,45.8133666666668
77,"18127",2011,0.913851056813336,100.54734,116.0438,90.2163666666667
77,"18127",2012,0.730499281390266,-108.13396,-92.6375,-118.464933333333
77,"18127",2013,1,-16.6772599999999,-1.18079999999998,-27.0082333333332
77,"18127",2014,1,187.59344,203.0899,177.262466666667
77,"18127",2015,1,133.94974,149.4462,123.618766666667
77,"18127",2016,1,63.2892399999999,78.7856999999999,52.9582666666666
77,"18127",2017,0.911782227113261,-85.59396,-70.0975,-95.9249333333333
77,"18127",2018,0.91652333651309,-72.65096,-57.1545,-82.9819333333333
78,"18131",1994,0.0581290968473591,-43.287908,-28.24488,-53.3165933333333
78,"18131",1995,0.0256195627752942,-28.039208,-12.99618,-38.0678933333334
78,"18131",1996,0.067151079860829,115.555292,130.59832,105.526606666667
78,"18131",1997,0.168318311523595,-22.4073080000001,-7.36428000000001,-32.4359933333334
78,"18131",1998,0.31810981146797,29.970692,45.01372,19.9420066666667
78,"18131",1999,0.373097762626677,-81.793708,-66.75068,-91.8223933333334
78,"18131",2000,0.454326906782072,-78.213408,-63.17038,-88.2420933333333
78,"18131",2001,0.634245171937083,-23.818008,-8.77497999999991,-33.8466933333333
78,"18131",2002,0.565382773620475,-95.984508,-80.94148,-106.013193333333
78,"18131",2003,0.594114278020652,77.587792,92.6308200000001,67.5591066666667
78,"18131",2004,0.893096120364832,55.975892,71.0189200000001,45.9472066666667
78,"18131",2005,0.947168954362096,-212.430908,-197.38788,-222.459593333333
78,"18131",2006,0.856593410536126,64.5722919999999,79.61532,54.5436066666666
78,"18131",2007,1,96.462992,111.50602,86.4343066666667
78,"18131",2008,1,1.84939199999997,16.89242,-8.17929333333336
78,"18131",2009,1,-114.304508,-99.2614799999999,-124.333193333333
78,"18131",2010,0.892655327768415,46.610092,61.6531200000001,36.5814066666667
78,"18131",2011,0.8831579150442,108.363792,123.40682,98.3351066666667
78,"18131",2012,0.778784593124173,-219.799508,-204.75648,-229.828193333333
78,"18131",2013,0.945490747419182,50.322892,65.3659200000001,40.2942066666667
78,"18131",2014,1,81.612392,96.65542,71.5837066666667
78,"18131",2015,1,162.998792,178.04182,152.970106666667
78,"18131",2016,1,94.1579919999999,109.20102,84.1293066666666
78,"18131",2017,0.883115587145901,30.123892,45.16692,20.0952066666666
78,"18131",2018,0.907748532311583,-96.085208,-81.04218,-106.113893333333
79,"18135",1994,0.110154555137681,-71.666352,-74.50981,-69.7707133333333
79,"18135",1995,0.139757025986163,-7.25685199999998,-10.10031,-5.36121333333335
79,"18135",1996,0.226306919011455,40.284248,37.44079,42.1798866666667
79,"18135",1997,0.080322200286043,-83.848452,-86.69191,-81.9528133333333
79,"18135",1998,0.397947619675321,147.768148,144.92469,149.663786666667
79,"18135",1999,0.54570031457751,-112.122652,-114.96611,-110.227013333333
79,"18135",2000,0.68220752748735,50.1378480000001,47.29439,52.0334866666667
79,"18135",2001,0.592999040344472,30.736848,27.89339,32.6324866666666
79,"18135",2002,0.979579590429368,-50.470252,-53.31371,-48.5746133333333
79,"18135",2003,0.883399643187723,84.8720480000001,82.02859,86.7676866666667
79,"18135",2004,1,-15.485652,-18.32911,-13.5900133333333
79,"18135",2005,0.943808169045414,-69.747652,-72.59111,-67.8520133333333
79,"18135",2006,0.952082722043863,38.885748,36.04229,40.7813866666667
79,"18135",2007,1,-108.800052,-111.64351,-106.904413333333
79,"18135",2008,1,-3.82905199999993,-6.67250999999999,-1.93341333333331
79,"18135",2009,1,-97.9244519999999,-100.76791,-96.0288133333333
79,"18135",2010,0.918199391039339,37.017648,34.17419,38.9132866666666
79,"18135",2011,0.806449093917956,46.7465480000001,43.90309,48.6421866666667
79,"18135",2012,0.975114560490101,-185.642552,-188.48601,-183.746913333333
79,"18135",2013,1,-60.045152,-62.88861,-58.1495133333333
79,"18135",2014,1,104.250048,101.40659,106.145686666667
79,"18135",2015,1,165.547448,162.70399,167.443086666667
79,"18135",2016,1,-16.569752,-19.41321,-14.6741133333334
79,"18135",2017,0.946346277176804,91.9987480000001,89.15529,93.8943866666667
79,"18135",2018,0.521624363280353,45.1635480000001,42.3200900000001,47.0591866666667
80,"18141",1994,0.0667341280068391,-35.153744,-26.3932899999999,-40.9940466666666
80,"18141",1995,0.108174848331904,10.072456,18.8329100000001,4.23215333333337
80,"18141",1996,0.067619288659602,169.448056,178.20851,163.607753333333
80,"18141",1997,0.0997621320102011,-9.52644400000008,-0.765989999999988,-15.3667466666667
80,"18141",1998,0.375386978887613,-65.967344,-57.2068899999999,-71.8076466666666
80,"18141",1999,0.441797799266977,-63.1350440000001,-54.37459,-68.9753466666667
80,"18141",2000,0.542210679917547,30.3135559999999,39.07401,24.4732533333333
80,"18141",2001,0.557335021099193,-8.31094400000006,0.449510000000032,-14.1512466666667
80,"18141",2002,0.738920802264863,-84.6954440000001,-75.93499,-90.5357466666667
80,"18141",2003,0.560853073047449,-30.649644,-21.8891899999999,-36.4899466666666
80,"18141",2004,0.638980330706721,36.881656,45.6421100000001,31.0413533333334
80,"18141",2005,0.657774491358388,-196.281244,-187.52079,-202.121546666667
80,"18141",2006,0.77246755944981,37.181756,45.94221,31.3414533333333
80,"18141",2007,0.92605014359828,80.034356,88.7948100000001,74.1940533333334
80,"18141",2008,1,-175.424844,-166.66439,-181.265146666667
80,"18141",2009,0.982649188215928,44.434856,53.1953100000001,38.5945533333334
80,"18141",2010,0.691941930996692,-9.516344,-0.755889999999908,-15.3566466666666
80,"18141",2011,0.682651446307985,101.775656,110.53611,95.9353533333333
80,"18141",2012,0.778974080502237,-103.115344,-94.35489,-108.955646666667
80,"18141",2013,0.875238129970804,-31.750244,-22.9897899999999,-37.5905466666666
80,"18141",2014,1,66.9223559999999,75.68281,61.0820533333333
80,"18141",2015,0.726076609779274,75.1950559999999,83.95551,69.3547533333333
80,"18141",2016,0.906547040188391,118.704456,127.46491,112.864153333333
80,"18141",2017,0.794691521728215,-49.995844,-41.2353899999999,-55.8361466666667
80,"18141",2018,0.722495917319252,92.5582559999999,101.31871,86.7179533333333
81,"18149",1994,0.0511598583858723,-45.49906,-33.0617100000001,-53.7906266666666
81,"18149",1995,0.0220962341243403,-22.01406,-9.57671000000005,-30.3056266666666
81,"18149",1996,0.0765504138785421,157.53244,169.96979,149.240873333333
81,"18149",1997,0.124939283833768,53.14054,65.5778899999999,44.8489733333333
81,"18149",1998,0.256607821249613,-18.0296599999999,-5.59231,-26.3212266666666
81,"18149",1999,0.318590413742767,-69.94186,-57.50451,-78.2334266666666
81,"18149",2000,0.396323041745675,-44.3131599999999,-31.87581,-52.6047266666666
81,"18149",2001,0.595165179154357,-14.7579599999999,-2.32060999999999,-23.0495266666666
81,"18149",2002,0.551353629216762,-146.35656,-133.91921,-154.648126666667
81,"18149",2003,0.557452100085583,25.86584,38.30319,17.5742733333334
81,"18149",2004,0.806609753390658,41.94854,54.3858899999999,33.6569733333333
81,"18149",2005,0.858540568400741,-212.52026,-200.08291,-220.811826666667
81,"18149",2006,0.80424446530683,16.66614,29.10349,8.37457333333339
81,"18149",2007,1,113.00354,125.44089,104.711973333333
81,"18149",2008,1,-58.44696,-46.0096100000001,-66.7385266666666
81,"18149",2009,1,-97.67386,-85.2365100000001,-105.965426666667
81,"18149",2010,0.860531929816028,60.8882400000001,73.32559,52.5966733333335
81,"18149",2011,0.810298214538244,100.38064,112.81799,92.0890733333333
81,"18149",2012,0.75584499752321,-185.14646,-172.70911,-193.438026666667
81,"18149",2013,0.935740225590994,68.46294,80.9002899999999,60.1713733333333
81,"18149",2014,1,119.95294,132.39029,111.661373333333
81,"18149",2015,1,139.87584,152.31319,131.584273333333
81,"18149",2016,1,120.15384,132.59119,111.862273333333
81,"18149",2017,0.855764030842783,-11.68246,0.754889999999932,-19.9740266666666
81,"18149",2018,0.920691216470989,-91.48916,-79.05181,-99.7807266666666
82,"18151",1994,0.172303212492226,-140.5473372,-149.36237,-134.670648666667
82,"18151",1995,0.448847759443158,-11.6919372,-20.50697,-5.81524866666666
82,"18151",1996,0.522685854657369,121.3741628,112.55913,127.250851333333
82,"18151",1997,0.4360050968768,-11.1723372,-19.98737,-5.29564866666664
82,"18151",1998,0.521029631440832,21.2640628,12.44903,27.1407513333334
82,"18151",1999,0.565599759452474,13.6898628,4.87482999999997,19.5665513333333
82,"18151",2000,0.620049692722231,60.0642628000001,51.24923,65.9409513333334
